character,definition,pronounciation
扮,to dress up,bàn
赞,to praise; to support,zàn
邀,to invite,yāo
净,clean,jìng
闹,noisy,nào
访,to call on; to inquire,fǎng
良,good; very much,liáng
叛,to rebel; rebellion,pàn
驾,to operate vehicle,jià
范,pattern; model,fàn
俄,"sudden(ly), Russia",é
猪,pig,zhū
辛,hot taste; hard,xīn
杉,pine/fir tree,shān
淘,wash in sieve,táo
洞,cave; hole,dòng
冠,hat; crown,guān
伟,big; great,wěi
珍,precious,zhēn
梅,plum,méi
朗,clear; bright,lǎng
欠,owe; lack,qiàn
扯,rip up; haul,chě
丑,clown; ugly,chǒu
竞,to compete,jìng
剂,liquid solution,jì
烈,fierce; intense,liè
李,plum,lǐ
村,village,cūn
厉,strict,lì
厨,kitchen,chú
允,to grant,yǔn
授,to teach,shòu
堆,to pile up; heap,duī
庆,to celebrate,qìng
率,to lead; frank,shuài
怒,anger; rage,nù
寓,residence,yù
液,sap; juice,yè
谓,to speak; meaning,wèi
估,to estimate,gū
鲜,fresh,xiān
磨,grind; rub,mó/mò
帅,handsome,shuài
婊,prostitute,biǎo
尿,urine,niào
键,key(board),jiàn
余,surplus,yú
绍,to continue,shào
娃,baby; doll,wá
刑,to punish,xíng
扫,to sweep,sǎo
核,seed,hé
损,to decrease; damage,sǔn
辩,to dispute,biàn
惯,accustomed to,guàn
傲,proud,ào
减,to lower,jiǎn
泡,bubble; to steep,pào
摸,feel with hand,mō
著,manifest,zhù
途,way; route,tú
矶,jetty,jī
鼓,drum,gǔ
堡,fortress,bǎo
愚,stupid,yú
敏,quick,mǐn
版,edition,bǎn
盒,small box,hé
订,to agree,dìng
寄,to mail,jì
赚,to earn,zhuàn
爵,feudal title,jué
材,material,cái
盛,to ladle,chéng
尤,especially,yóu
皇,emperor,huáng
夺,to take by force,duó
邮,post; mail,yóu
俱,all; together,jù
九,nine,jiǔ
盗,to steal,dào
尺,"Chinese ""foot""",chǐ
愉,pleasant,yú
序,order; sequence,xù
鼠,rat,shǔ
幕,curtain,mù
踢,kick,tī
憾,to regret,hàn
汰,excessive,tài
隔,to partition,gé
彻,to penetrate,chè
插,to insert; pierce,chā
猎,to hunt,liè
尚,still; yet; to value,shàng
潜,to hide; hidden,qián
构,to assign; faciton,gòu
烤,bake; roast,kǎo
霍,quickly,huò
悔,to regret,huǐ
暂,temporary,zàn
爽,bright; crisp,shuǎng
扎,to pierce,zhā
绪,beginnings; thread,xù
讯,to question,xùn
吐,to vomit,tù
吹,to blow,chuī
宾,guest; visitor,bīn
侦,spy,zhēn
颗,particle,kē
宁,peaceful,níng
罚,penalty,fá
欲,to wish for; desire,yù
乡,countryside,xiāng
帽,hat,mào
杜,to prevent,dù
豪,heroic,háo
征,to recruit,zhēng
括,to enclose; to include,kuò
盯,to keep eyes on,dīng
稳,steady; stable,wěn
胆,gall; bravery,dǎn
甲,first; shell,jiǎ
赖,to depend on; bad,lài
啤,beer,pí
佩,to respect; wear (belt),pèi
启,to start; to open,qǐ
胎,embryo; fetus,tāi
帐,screen,zhàng
赏,to bestow,shǎng
抛,throw (away),pāo
遭,meet by chance,zāo
若,seem like,ruò
梯,ladder,tī
震,to shake,zhèn
述,to tell,shù
阵,short time,zhèn
仪,ceremony,yí
乖,clever; shrewd,guāi
宫,palace,gōng
咬,bite; gnaw,yǎo
祷,to pray,dǎo
祖,ancestor,zǔ
蜜,honey,mì
耍,to frolic,shuǎ
拼,to join together,pīn
惜,to cherish,xī
忠,loyal,zhōng
策,policy,cè
鼻,nose,bí
钻,to drill,zuān
池,pond; reservoir,chí
虚,emptiness; modest,xū
桑,mulberry tree,sāng
拾,to collect,shí
泳,to dive; swim,yǒng
频,frequently,pín
尖,sharp; acute,jiān
申,to extend; to state,shēn
违,to disobey,wéi
零,zero,líng
诊,to diagnose,zhěn
嘘,to exhale,xū
惧,to fear,jù
拯,to help; to save,zhěng
痕,scar,hén
批,to criticize,pī
绿,green,lǖ
乘,to ride,chéng
佳,beautiful,jia
熊,bear,xióng
辣,hot; spicy,là
躺,to lie down,tǎng
祈,to pray,qí
肥,fat; plump,féi
址,location,zhǐ
占,to divine,zhān
络,net,luò
掩,to cover,yǎn
省,to save; province,shěng
羊,sheep,yáng
荒,wasteland,huāng
督,to supervise,dū
撤,to omit,chè
胖,fat,pàng
辞,words,cí
增,to increase; add,zēng
援,to help,yuán
郎,young man,láng
献,to offer,xiàn
擦,to wipe,cā
农,agriculture,nóng
邪,demonic; evil,xié
姻,marriage,yīn
恢,to restore,huī
描,to copy,miáo
匹,mw. for horses,pǐ
软,soft; flexible,ruǎn
埋,to bury,mái
惨,miserable,cǎn
洋,ocean,yáng
纯,pure,chún
浴,to bathe,yù
贴,to paste; to post,tiē
尉,officer,wèi
略,summary; strategy,lüè
符,symbol; charm,fú
侵,to invade,qīn
陆,shore; land,lù
载,to carry,zài
爬,to crawl,pá
挖,to dig,wā
骄,pride,jiāo
兽,beast,shòu
嫁,to marry,jià
洁,clean,jié
晨,early morning,chén
喊,to shout,hǎn
奏,to play music,zòu
灰,ashes,huī
摔,to stumble,shuāi
羞,disgrace; shy,xiū
邻,neighbour,lín
椅,chair,yǐ
颜,face,yán
欺,cheat,qī
端,to hold; end points,duān
贺,congratulate,hè
茶,tea,chá
障,to block,zhàng
慈,kind; charitable,cí
仇,enemy; hate,chóu
厂,factory,chǎng
怨,to blame,yuàn
逊,humble; worse,xùn
黎,dawn; black,lí
剪,scissors,jiǎn
春,Spring,chūn
额,forehead,é
豆,bean,dòu
罢,to stop; to suspend,bà
裂,crack,liè
挡,to obstruct,dǎng
偏,to lean; oblique,piān
糊,paste,hù
卧,to crouch,wò
敲,to strike,qiāo
丧,to lose,sàng
乌,crow,wū
购,to purchase,gòu
域,field; region,yù
闲,idle,xián
宇,universe,yǔ
姓,surname,xìng
葬,to bury (dead),zàng
党,party; association,dǎng
售,to sell,shòu
涂,to apply (paint),tú
